"Store ID","Store Name","Address","Location Type","Store Size","Parking","Expenditure Band","Population Total","Male Population","Female Population","POI Category Counts"
"03e78013-3f5e-44a4-b305-2df5658bb43b","Alfamidi Cempaka Putih","Jalan Cempaka Putih Raya No. A3, RT. 7 / RW. 6, RT.7/RW.6, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510, Indonesia","Commercial Area","Large","Yes","high","58008.648233413696","29264.59839248657","28744.051013946533","Auto and Gasoline Service Stations:2 | Civic and Social Organizations:8 | Eating Places:65 | Education:7 | Entertainment:2 | Fashion and Apparel:4 | Grocery Stores:10 | Healthcare:7 | Hotels:2 | Industrial and Commercial Zones:2 | Retail:10 | Salon/Spa:4 | Services:11 | Sports and Fitness Centers:2 | Transportation:2"
"977be74c-6df8-4952-88d0-9e60dfc9bdee","Alfamidi Cilangkap","Jl. Raya Cilangkap 7, RT.5/RW.1, Cilangkap, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13870, Indonesia","Commercial Area","Large","Yes","high","37720.62491989136","18904.767745018005","18815.85731458664","Amusement and Recreation:2 | Auto and Gasoline Service Stations:1 | Automotive Dealers:1 | Children's Activities:1 | Civic and Social Organizations:3 | Eating Places:3 | Education:4 | Entertainment:1 | Grocery Stores:3 | Healthcare:1 | Retail:5 | Services:2 | Transportation:1"
"7b3d6b14-a3fa-40a1-ade9-e08647bdaade","Alfamidi Palmerah Barat","Jl. Palmerah Barat No.50/52, RT.2/RW.10, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia","Residential Area","Large","Yes","high","43020.495849609375","21587.362279891968","21433.133932113647","Amusement and Recreation:2 | Auto and Gasoline Service Stations:9 | Automotive Dealers:11 | Civic and Social Organizations:8 | Eating Places:26 | Education:7 | Entertainment:5 | Fashion and Apparel:3 | Grocery Stores:3 | Healthcare:2 | Hotels:1 | Industrial and Commercial Zones:1 | Retail:11 | Salon/Spa:3 | Services:19 | Sports and Fitness Centers:1 | Transportation:5"
"658a85d0-04fb-4455-9796-a4efa794e49f","Alfamidi Kedoya raya","Jl. Kedoya Pesing No.9 3, RT.3/RW.2, Kedoya Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520, Indonesia","Commercial Area","Large","Yes","high","33106.96678161621","16626.343603134155","16480.622953414917","Automotive Dealers:3 | Children's Activities:1 | Civic and Social Organizations:3 | Eating Places:12 | Education:6 | Entertainment:1 | Grocery Stores:2 | Healthcare:1 | Hotels:2 | Industrial and Commercial Zones:4 | Retail:7 | Salon/Spa:1 | Services:9"
"4df20506-5dac-4da7-94ef-76888daa8d17","Alfamart Mangga 2 Square","VR6J+GR2, Ancol, Pademangan, North Jakarta City, Jakarta, Indonesia","Mall","Large","Yes","high","3686.337459564209","1858.4421167373655","1827.8953714370728","Amusement and Recreation:8 | Auto and Gasoline Service Stations:6 | Automotive Dealers:27 | Civic and Social Organizations:23 | Eating Places:81 | Education:8 | Entertainment:11 | Fashion and Apparel:22 | Grocery Stores:7 | Healthcare:9 | Hotels:7 | Industrial and Commercial Zones:4 | Retail:64 | Salon/Spa:9 | Services:48 | Sports and Fitness Centers:1 | Transportation:15"
"a26805bc-fdb6-4ba1-88b8-993411e7e1a4","Alfamidi Matraman","Jl. Matraman Raya No.1 3, RT.3/RW.3, Palmeriam, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13140, Indonesia","Commercial Area","Large","Yes","high","23570.18950653076","11812.833267211914","11757.356285095217","Amusement and Recreation:2 | Auto and Gasoline Service Stations:1 | Civic and Social Organizations:19 | Eating Places:34 | Education:10 | Entertainment:3 | Fashion and Apparel:2 | Grocery Stores:3 | Healthcare:7 | Hotels:9 | Retail:8 | Salon/Spa:2 | Services:29 | Sports and Fitness Centers:2 | Transportation:9"
"a5e32611-72cd-4a8c-96c6-dfc3e86dc4c6","Alfamidi Super Penggilingan 2","QWXP+J69, RT.13/RW.7, Penggilingan, Cakung, East Jakarta City, Jakarta 13940, Indonesia","Residential Area","Large","Yes","high","29793.72709465027","14931.976683616638","14861.750489234924","Amusement and Recreation:1 | Automotive Dealers:3 | Children's Activities:1 | Civic and Social Organizations:5 | Eating Places:21 | Education:8 | Fashion and Apparel:4 | Grocery Stores:1 | Healthcare:6 | Hotels:2 | Industrial and Commercial Zones:1 | Retail:14 | Salon/Spa:3 | Services:13 | Transportation:2"
"bee72fba-d0ea-41e1-9b05-b5bbcc77e877","Alfamidi Setia Budi Tengah MH64","Jl. Setiabudi VII No.2, RT.1/RW.3, Kuningan, Setia Budi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12910, Indonesia","Residential Area","Large","Yes","high","17293.142505645752","8674.725936412811","8618.41696357727","Amusement and Recreation:6 | Automotive Dealers:1 | Civic and Social Organizations:13 | Eating Places:61 | Education:11 | Fashion and Apparel:3 | Grocery Stores:4 | Healthcare:2 | Hotels:27 | Industrial and Commercial Zones:1 | Retail:14 | Salon/Spa:6 | Services:9 | Transportation:2"
"324321ce-bae8-4a36-8a12-f1684e32cd2a","Alfamart Cidangiang","Jl. Cidangiang No.1, RT.04/RW.05, RT.04, Jl. Botani Square Jl. Cidangiang No.1, RT.04/RW.05, Kp. Parung Jambu, Tegallega, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16129, Indonesia","Mall","Large","Yes","high","13259.512198217211","6686.521224672906","6572.991215839051","Amusement and Recreation:7 | Automotive Dealers:8 | Civic and Social Organizations:7 | Eating Places:91 | Education:9 | Entertainment:4 | Fashion and Apparel:11 | Grocery Stores:2 | Healthcare:11 | Hotels:12 | Retail:33 | Salon/Spa:9 | Services:14 | Sports and Fitness Centers:2 | Transportation:10"
"d7374744-9496-464d-9ac9-1d065e72d3c0","Alfamidi Cibatu","Jl. Sukahaji-Wanakerta No.15, Cibatu, Kec. Cibatu, Kabupaten Garut, Jawa Barat 44185, Indonesia","Commercial Area","Large","Yes","high","25534.59853708744","13023.348670005798","12511.24988746643","Amusement and Recreation:1 | Automotive Dealers:1 | Civic and Social Organizations:6 | Eating Places:1 | Education:4 | Fashion and Apparel:1 | Grocery Stores:1 | Healthcare:3 | Retail:1 | Services:4"
